2020-08-24	M
2020-08-26	W
2020-08-28	F
2020-08-31	M
2020-09-02	W
2020-09-04	F
2020-09-07	M
2020-09-09	W
2020-09-11	F
2020-09-14	M
2020-09-16	W
2020-09-18	F
2020-09-21	M
2020-09-23	W
2020-09-25	F
2020-09-28	M
2020-09-30	W
2020-10-02	F
2020-10-05	M
2020-10-07	W
2020-10-09	F
2020-10-12	M
2020-10-14	W
2020-10-16	F
2020-10-19	M
2020-10-21	W
2020-10-23	F
2020-10-26	M
2020-10-28	W
2020-10-30	F
2020-11-02	M
2020-11-04	W
2020-11-06	F
2020-11-09	M
2020-11-11	W
2020-11-13	F
2020-11-16	M
2020-11-18	W
2020-11-20	F
2020-11-23	M
2020-11-25	W
2020-11-27	F
2020-11-30	M
2020-12-02	W
2020-12-04	F
2020-12-07	M
2020-12-09	W
2020-12-11	F
